Temperature(K),Resistance(Ohms)
285.03777138701344,2.9105568898450533
284.9428484275289,2.9105568898450533
284.9428484275289,2.9070716011292044
284.85188066450144,2.9070716011292044
284.85188066450144,2.90532895677128
284.76091280907997,2.90532895677128
284.76091280907997,2.9035863124133527
284.6699450460526,2.901767900370792
284.6699450460526,2.9000252560128663
284.575022086568,2.9000252560128663
284.575022086568,2.898282611654942
284.4721889189573,2.898282611654942
284.4721889189573,2.8965399672970173
284.38122106353586,2.8947973229390924
284.38122106353586,2.8927516113822547
284.2902532081145,2.8927516113822547
284.2902532081145,2.89100896702433
284.19533034102386,2.89100896702433
284.19533034102386,2.8875236783084803
284.1043624856024,2.8875236783084803
284.1043624856024,2.8857052662659193
284.0133946301812,2.8839626219079944
284.0133946301812,2.8822199775500694
283.92242686715355,2.8822199775500694
283.8314590117322,2.880477333192145
283.8314590117322,2.8787346888342205
283.7404912487047,2.8787346888342205
283.7404912487047,2.8769920444762933
283.64556828922014,2.8769920444762933
283.64556828922014,2.875249400118369
283.55460043379884,2.875249400118369
283.55460043379884,2.873430989845626
283.4636326707713,2.873430989845626
283.4636326707713,2.871688345487701
283.37266481534994,2.871688345487701
283.37266481534994,2.869945701129776
283.27774185586543,2.869945701129776
283.1867740928378,2.8682030567718515
283.0958062374166,2.8682030567718515
283.0958062374166,2.866460412413927
283.0048383819952,2.866460412413927
283.0048383819952,2.864717768056002
282.9138706189677,2.864717768056002
282.9138706189677,2.8628993560134406
282.8229027635464,2.8628993560134406
282.8229027635464,2.8609294103714213
282.7279798040618,2.8609294103714213
282.62514663645106,2.8591867660134964
282.62514663645106,2.857444121655572
282.5341788734235,2.857444121655572
282.5341788734235,2.855625711382829
282.44321101800216,2.855625711382829
282.44321101800216,2.8538830670249027
282.25732029549005,2.8538830670249027
282.25732029549005,2.852140422666978
282.1663524400688,2.852140422666978
282.1663524400688,2.8503977783090537
282.07538458464734,2.8503977783090537
282.07538458464734,2.848579366266491
281.9804617175567,2.848579366266491
281.9804617175567,2.8468367219085664
281.88949386213534,2.8468367219085664
281.88949386213534,2.845094077550642
281.7985260067139,2.845094077550642
281.7985260067139,2.843351433192717
281.7075582436865,2.843351433192717
281.7075582436865,2.841608788834792
281.5256226252376,2.841608788834792
281.5256226252376,2.8398661444768676
281.4306996657531,2.8398661444768676
281.4306996657531,2.838047734204122
281.33973181033167,2.838047734204122
281.33973181033167,2.8363050898461974
281.1577961918828,2.8363050898461974
281.1577961918828,2.834562445488273
280.9719054693708,2.834562445488273
280.9719054693708,2.832819801130348
280.8690722093661,2.832819801130348
280.8690722093661,2.8310771567724236
280.7781044463386,2.8310771567724236
280.7781044463386,2.8293345124144986
280.59221363143274,2.8293345124144986
280.59221363143274,2.8272887990878437
280.5012458684052,2.8272887990878437
280.5012458684052,2.8255461547299188
280.3193102499563,2.8255461547299188
280.3193102499563,2.8238035103719943
280.2283423945349,2.8238035103719943
280.2283423945349,2.82206086601407
280.04245167202293,2.82206086601407
280.04245167202293,2.8202424557413255
279.9514838166016,2.8202424557413255
279.9514838166016,2.8184998113834006
279.8605159611803,2.8184998113834006
279.8605159611803,2.816757167025476
279.67462523866817,2.816757167025476
279.67462523866817,2.8150145226675503
279.5836573832469,2.8150145226675503
279.5836573832469,2.8132718783096253
279.40172176479797,2.8132718783096253
279.40172176479797,2.811529233951701
279.3107540017703,2.811529233951701
279.3107540017703,2.8097108219091393
279.1248631868646,2.8097108219091393
279.1248631868646,2.8079681775512144
279.02203001925375,2.8079681775512144
279.02203001925375,2.8062255349631084
278.83613929674164,2.8062255349631084
278.83613929674164,2.8044828906051835
278.654203585899,2.8044828906051835
278.654203585899,2.802740246247257
278.56323582287143,2.802740246247257
278.47226796745014,2.800921834204696
278.3773450079656,2.800921834204696
278.3773450079656,2.7991791898467717
278.19540938951667,2.7991791898467717
278.19540938951667,2.797436545488846
278.0134737710678,2.797436545488846
278.0134737710678,2.795466599846829
277.9225059156464,2.795466599846829
277.9225059156464,2.7936481878042674
277.7366151931344,2.7936481878042674
277.7366151931344,2.7919055434463425
277.55467957468557,2.7919055434463425
277.55467957468557,2.7901628990884175
277.46371171926415,2.7901628990884175
277.46371171926415,2.7884202565003093
277.27782099675215,2.7884202565003093
277.27782099675215,2.786677612142385
277.0800648696569,2.786677612142385
277.0800648696569,2.7849349677844604
276.898129251208,2.7849349677844604
276.898129251208,2.7831165557418984
276.7161935403652,2.7831165557418984
276.7161935403652,2.781373911383974
276.6252257773377,2.781373911383974
276.6252257773377,2.779631267026049
276.4393349624318,2.779631267026049
276.4393349624318,2.777888622668124
276.2573993439829,2.777888622668124
276.2573993439829,2.7761459783101996
276.07150862147085,2.7761459783101996
276.07150862147085,2.774403333952273
275.889573003022,2.774403333952273
275.889573003022,2.7725849236795295
275.70763729217936,2.7725849236795295
275.70763729217936,2.770842279321605
275.52174656966724,2.770842279321605
275.52174656966724,2.7690996349636805
275.4189134020564,2.7690996349636805
275.3279455466351,2.7673569906057556
275.23302258715063,2.7673569906057556
275.23302258715063,2.7656143462478306
274.9601192056741,2.7656143462478306
274.9601192056741,2.763568632921176
274.77422839076837,2.763568632921176
274.77422839076837,2.7618259885632512
274.5922927723195,2.7618259885632512
274.5922927723195,2.7600833442053263
274.4103571538705,2.7600833442053263
274.4103571538705,2.758340699847402
274.22446633896465,2.758340699847402
274.22446633896465,2.7565980554894773
274.0425307205158,2.7565980554894773
274.0425307205158,2.7547796452167326
273.8605951020669,2.7547796452167326
273.8605951020669,2.753037000858807
273.67470437955495,2.753037000858807
273.57187111955017,2.7512943565008827
273.3859803970382,2.7512943565008827
273.3859803970382,2.749551712142958
273.2040447785893,2.749551712142958
273.2040447785893,2.747733300100395
273.01815396368335,2.747733300100395
273.01815396368335,2.74599065574247
272.745250582207,2.74599065574247
272.745250582207,2.7442480113845455
272.5633148713643,2.7442480113845455
272.5633148713643,2.742505367026621
272.37742414885224,2.742505367026621
272.37742414885224,2.7407627226686966
272.10452067498204,2.7407627226686966
272.10452067498204,2.7390200783107717
271.9186299524699,2.7390200783107717
271.9186299524699,2.7372016680380273
271.7208738253746,2.7372016680380273
271.7208738253746,2.735459023680103
271.44797035150447,2.735459023680103
271.44797035150447,2.733716379322178
271.26603473305545,2.733716379322178
271.26603473305545,2.731746433680161
270.98917615512215,2.731746433680161
270.98917615512215,2.7299280216375985
270.8072405366732,2.7299280216375985
270.8072405366732,2.7281853772796736
270.5303819587399,2.7281853772796736
270.5303819587399,2.7264427329217478
270.34844624789713,2.7264427329217478
270.34844624789713,2.7247000885638233
270.16255552538513,2.7247000885638233
270.0715876699637,2.7229574442058984
269.87383154286846,2.7229574442058984
269.87383154286846,2.721214799847974
269.69189592441955,2.721214799847974
269.69189592441955,2.7193963895752304
269.41503734648614,2.7193963895752304
269.41503734648614,2.717653745217306
